datetime,actual_temp,predicted_temp
2025-09-05 00:00:00,50.12,49.98
2025-09-05 01:00:00,49.87,49.75
2025-09-05 02:00:00,49.55,49.60
2025-09-05 03:00:00,49.30,49.42
2025-09-05 04:00:00,49.10,49.05
2025-09-05 05:00:00,49.25,49.18
2025-09-05 06:00:00,49.50,49.40
2025-09-05 07:00:00,49.64,49.31
2025-09-05 08:00:00,50.05,49.72
2025-09-05 09:00:00,50.80,50.25
2025-09-05 10:00:00,51.30,50.90
2025-09-05 11:00:00,51.75,51.20
2025-09-05 12:00:00,52.10,51.65
2025-09-05 13:00:00,52.40,51.95
2025-09-05 14:00:00,52.60,52.10
2025-09-05 15:00:00,52.30,52.00
2025-09-05 16:00:00,51.90,51.70
2025-09-05 17:00:00,51.40,51.25
2025-09-05 18:00:00,50.95,50.80
2025-09-05 19:00:00,50.60,50.45
2025-09-05 20:00:00,50.30,50.20
2025-09-05 21:00:00,50.10,50.05
2025-09-05 22:00:00,49.85,49.90
2025-09-05 23:00:00,49.60,49.70
